"","Region.No.","X2008_A","X2009_A","X2010_A","X2011_A","X2012_A","X2013_A","X2014_A","X2008_B","X2009_B","X2010_B","X2011_B","X2012_B","X2013_B","X2014_B","X2008_C","X2009_C","X2010_C","X2011_C","X2012_C","X2013_C","X2014_C","X2008_D","X2009_D","X2010_D","X2011_D","X2012_D","X2013_D","X2014_D","X2008_E","X2009_E","X2010_E","X2011_E","X2012_E","X2013_E","X2014_E","X2008_F","X2009_F","X2010_F","X2011_F","X2012_F","X2013_F","X2014_F"
"1","Region1",9642406,9742676,9826141,9917714,9700881,9794525,9973397,3370,3455,3565,3606,3963,4019,4069,60.2,60.4,64.2,53.5,60.6,56.6,54.6,159.5,135.3,164.1,155,167.5,28.7,29.6,15.1,14.1,13.1,12.4,11.4,11.5,11.1,21.7,22.6,24.5,25.2,25.3,24.6,24.2
"2","Region2",4401266,4432571,4446230,4457335,4357663,4374052,4436798,1729,1778,1851,1803,1871,1923,1932,54.9,57,59.2,49.6,57.1,54.5,53.9,159,146.3,170.2,158.6,167.9,13.8,13.9,16.5,15.5,14,12.9,11.3,11.2,10.7,25.6,26.6,24.8,24.5,24.9,24.7,24.4
"3","Region3",5029683,5037799,5042992,5051075,4999854,4999932,5094937,1948,1962,2009,1958,2179,2213,2194,84.9,78.2,88.6,77.5,87.4,78.4,68.3,260.7,230.7,273,264.1,276.6,21.5,19.9,31.4,30,26.7,25.1,21.3,20.8,19.4,24.1,25.1,27.1,27,25.8,25,22.4
"4","Region4",5561017,5626710,5681868,5728688,5500022,5557276,5870451,2379,2381,2501,2452,2617,2661,2722,79,78.6,86.8,70.6,82.5,78.1,75.7,235,204.3,243.2,225.9,242.7,23.2,23.8,25.2,23,21,19.9,18,18.4,17.4,24.1,24.9,27,25.8,25.6,25,24.3
"5","Region5",4076546,4079702,4084035,4091259,4050072,4050803,4090266,1611,1663,1723,1633,1791,1847,1932,71.9,69.3,79.6,67.7,80.6,77.6,78.7,234.4,209.2,250.5,230.5,245.2,16.8,17.3,30.3,29.6,26.7,24.4,21,21.7,21.7,20.8,22.5,23.1,22.1,23.5,23.4,23.5
"6","Region6",3677048,3707818,3730130,3749813,3667780,3692828,3750511,1504,1607,1634,1652,1701,1732,1766,47.8,47.2,53.4,43.2,56.2,52.9,52,163.6,143.1,172.7,153.5,159.1,11,11.2,18.1,16.9,15.8,14.4,12.2,12.4,11.7,21.4,21.1,21.9,21.6,20.3,20.1,19.5
"7","Region7",4832340,4885548,4912438,4937854,4853657,4881756,4926818,1704,1751,1770,1744,1904,1935,1976,54.2,56.2,61,51.4,60,56.3,54.4,173.1,152.7,180.2,169.6,182.2,15.2,15.3,14.3,13.3,11.8,11,9.6,9.6,9.3,19.6,20.4,21.6,21.5,22,21.6,21.4
"8","Region8",125979,127065,127866,128230,126620,127844,128591,47,50,50,50,50,52,53,47.8,50.8,56.9,48.2,57.6,54.2,54.9,146.9,138.3,160.3,149.8,157.8,0.4,0.4,14.2,14,12.4,11.2,9.9,10,9.8,19.6,20.5,22.3,22.8,23.5,23.8,25
"9","Region9",1222061,1230936,1234079,1235808,1217780,1221860,1229363,476,482,493,493,513,527,526,55.1,55.7,62.9,52.9,57.8,55.2,54.7,174.3,152.5,180.1,168.5,176.7,4.1,4.1,13.3,12.2,11.6,10.7,8.7,8.6,8.2,19.4,19.9,22.3,23.4,23.2,22.5,22.8
"10","Region10",1665617,1671001,1672404,1675411,1637846,1640379,1663859,680,706,763,733,774,778,803,71.9,71.9,79.9,73.9,72.8,87.4,87.6,236.2,211,250.1,243,258.4,7.2,7.4,20.4,19.4,17.8,16.4,14.9,14.3,14,23.9,25.3,27.2,27.5,30.6,27.4,27.2
